topic,index
0,0
0,1
8,2
8,3
8,4
3,5
2,6
3,7
0,8
3,9
0,10
1,11
0,12
6,13
5,14
8,15
0,16
0,17
0,18
2,19
1,20
6,21
6,22
0,23
0,24
0,25
2,26
0,27
3,28
6,29
6,30
7,31
8,32
7,33
8,34
2,35
1,36
1,37
8,38
0,39
7,40
8,41
0,42
3,43
2,44
0,45
0,46
0,47
0,48
8,49
3,50
3,51
0,52
6,53
0,54
1,55
8,56
5,57
2,58
2,59
8,60
1,61
3,62
0,63
1,64
6,65
3,66
1,67
8,68
1,69
0,70
6,71
3,72
3,73
0,74
7,75
6,76
0,77
0,78
0,79
0,80
6,81
6,82
0,83
6,84
6,85
6,86
6,87
8,88
1,89
6,90
0,91
3,92
0,93
1,94
8,95
0,96
8,97
0,98
0,99
5,100
0,101
3,102
3,103
5,104
3,105
6,106
3,107
0,108
8,109
3,110
2,111
8,112
3,113
0,114
0,115
6,116
0,117
8,118
7,119
6,120
0,121
0,122
0,123
6,124
3,125
8,126
3,127
6,128
8,129
8,130
0,131
2,132
6,133
8,134
1,135
7,136
0,137
7,138
8,139
0,140
0,141
0,142
8,143
0,144
3,145
3,146
6,147
8,148
2,149
0,150
1,151
0,152
1,153
8,154
8,155
2,156
1,157
2,158
8,159
0,160
0,161
0,162
3,163
0,164
0,165
3,166
8,167
8,168
0,169
6,170
2,171
1,172
6,173
0,174
8,175
0,176
3,177
6,178
0,179
0,180
3,181
0,182
8,183
2,184
8,185
2,186
0,187
1,188
0,189
3,190
0,191
0,192
8,193
3,194
1,195
0,196
3,197
8,198
0,199
0,200
8,201
1,202
0,203
2,204
7,205
6,206
7,207
2,208
2,209
6,210
5,211
8,212
8,213
8,214
3,215
3,216
0,217
2,218
3,219
3,220
2,221
0,222
2,223
8,224
8,225
1,226
8,227
6,228
0,229
7,230
0,231
8,232
0,233
0,234
8,235
6,236
8,237
3,238
0,239
0,240
0,241
6,242
8,243
2,244
6,245
0,246
3,247
0,248
8,249
0,250
6,251
0,252
2,253
8,254
0,255
8,256
1,257
8,258
1,259
2,260
0,261
1,262
3,263
0,264
2,265
7,266
0,267
0,268
3,269
3,270
8,271
1,272
0,273
3,274
0,275
8,276
2,277
3,278
3,279
1,280
2,281
8,282
8,283
0,284
1,285
2,286
7,287
8,288
2,289
0,290
1,291
7,292
0,293
6,294
8,295
0,296
0,297
0,298
1,299
0,300
8,301
6,302
0,303
0,304
0,305
1,306
6,307
6,308
1,309
3,310
2,311
8,312
0,313
8,314
8,315
0,316
8,317
3,318
0,319
1,320
7,321
0,322
5,323
0,324
3,325
3,326
0,327
8,328
0,329
6,330
8,331
8,332
0,333
8,334
0,335
0,336
0,337
5,338
3,339
8,340
1,341
0,342
0,343
2,344
8,345
6,346
8,347
0,348
0,349
0,350
2,351
8,352
6,353
0,354
1,355
2,356
0,357
6,358
0,359
8,360
0,361
6,362
8,363
3,364
5,365
0,366
0,367
8,368
0,369
8,370
8,371
6,372
1,373
8,374
0,375
1,376
7,377
8,378
1,379
6,380
6,381
1,382
7,383
0,384
6,385
7,386
1,387
0,388
3,389
3,390
8,391
1,392
1,393
3,394
0,395
8,396
0,397
8,398
3,399
6,400
1,401
1,402
3,403
6,404
8,405
2,406
8,407
8,408
6,409
0,410
0,411
0,412
3,413
8,414
6,415
3,416
0,417
0,418
1,419
0,420
6,421
1,422
0,423
6,424
6,425
8,426
6,427
5,428
0,429
3,430
8,431
0,432
0,433
3,434
2,435
0,436
0,437
7,438
0,439
0,440
6,441
2,442
0,443
5,444
2,445
0,446
2,447
2,448
1,449
0,450
2,451
7,452
8,453
1,454
2,455
1,456
7,457
1,458
0,459
1,460
2,461
8,462
8,463
1,464
0,465
6,466
2,467
1,468
1,469
0,470
0,471
8,472
0,473
0,474
8,475
0,476
0,477
1,478
8,479
0,480
3,481
6,482
3,483
2,484
6,485
0,486
8,487
3,488
0,489
0,490
8,491
8,492
6,493
2,494
0,495
8,496
2,497
2,498
0,499
1,500
2,501
1,502
6,503
8,504
8,505
0,506
8,507
7,508
0,509
8,510
0,511
6,512
6,513
8,514
8,515
1,516
6,517
3,518
3,519
0,520
2,521
0,522
2,523
0,524
0,525
0,526
0,527
0,528
8,529
3,530
0,531
8,532
2,533
3,534
3,535
8,536
3,537
8,538
8,539
0,540
8,541
8,542
0,543
0,544
2,545
0,546
6,547
6,548
